Start Date,1/14/2025 16:31:35
Length,198.00000,mm
Rate 1,0.60000,mm/min
Geometry,Circular
Diameter,8.65000,mm
Final length,1.00000,mm

Time,Extension,Load,Displacement (Strain 1),Strain 1
(sec),(mm),(N),(mm),
0.00000,-0.00280,-840.50894,0.00000,0.00000
1.00000,-0.00444,-860.01158,0.00000,0.00000
2.00000,-0.00353,-807.72638,0.00000,0.00000
3.00000,-0.00035,-713.44972,0.00000,0.00000
3.06280,-0.00014,-699.72277,0.00000,0.00000
3.82380,0.00210,-578.62997,0.00000,0.00000
4.00000,0.00253,-548.21372,0.00000,0.00000
4.42480,0.00374,-454.85497,0.00000,0.00000
4.95180,0.00787,-329.70905,0.00000,0.00000
5.00000,0.00795,-321.15579,0.00000,0.00000
5.49780,0.00879,-205.53470,0.00000,0.00000
5.86680,0.01273,-74.47004,0.00000,0.00000
6.00000,0.01499,-27.12011,0.00000,0.00000
6.17880,0.01645,45.68100,0.00000,0.00000
6.45980,0.01585,167.83476,0.00000,0.00000
6.74080,0.01915,293.29062,0.00000,0.00000
7.00000,0.02282,418.72263,0.00000,0.00000
7.01180,0.02442,421.30947,0.00000,0.00000
7.27980,0.02424,550.36545,0.00000,0.00000
7.52280,0.02728,669.49129,0.00000,0.00000
7.75180,0.03012,793.88618,0.00000,0.00000
7.97080,0.03347,928.16353,0.00000,0.00000
8.00000,0.03426,942.75475,0.00000,0.00000
8.17880,0.03628,1053.04718,0.00000,0.00000
8.38680,0.03654,1171.12398,0.00000,0.00000
8.55580,0.04014,1298.65408,0.00000,0.00000
8.72080,0.04357,1421.59462,0.00000,0.00000
8.88880,0.04613,1550.60291,0.00000,0.00000
9.00000,0.04819,1638.13829,0.00000,0.00000
9.06280,0.04818,1675.35543,0.00000,0.00000
9.23680,0.05188,1801.27621,0.00000,0.00000
9.42780,0.05459,1914.53695,0.00000,0.00000
9.62280,0.05655,2045.01152,0.00000,0.00000
9.81780,0.05962,2173.16151,0.00000,0.00000
9.97880,0.06348,2290.18927,0.00000,0.00000
10.00000,0.06210,2310.66942,0.00000,0.00000
10.12680,0.06566,2416.24117,0.00000,0.00000
10.27280,0.06674,2553.20072,0.00000,0.00000
10.41780,0.07058,2666.50915,0.00000,0.00000
10.57280,0.07263,2807.97482,0.00000,0.00000
10.71680,0.07585,2924.12043,0.00000,0.00000
10.86780,0.07678,3042.42373,0.00000,0.00000
11.00000,0.08039,3157.92561,0.00000,0.00000
11.02180,0.07986,3174.34072,0.00000,0.00000
11.16780,0.08336,3289.12735,0.00000,0.00000
11.33780,0.08595,3429.32940,0.00000,0.00000
11.49080,0.08903,3554.26073,0.00000,0.00000
11.63680,0.09166,3677.66619,0.00000,0.00000
11.78280,0.09449,3799.73650,0.00000,0.00000
11.92480,0.09538,3922.61744,0.00000,0.00000
12.00000,0.09702,3987.89644,0.00000,0.00000
12.07680,0.10057,4051.02968,0.00000,0.00000
12.23780,0.10262,4175.97294,0.00000,0.00000
12.39780,0.10563,4303.49112,0.00000,0.00000
12.57180,0.10785,4423.64216,0.00000,0.00000
12.76280,0.10979,4547.97745,0.00000,0.00000
12.96380,0.11355,4674.01743,0.00000,0.00000
13.00000,0.11380,4695.47510,0.00000,0.00000
13.14280,0.11774,4796.67187,0.00000,0.00000
13.33080,0.11941,4923.52247,0.00000,0.00000
13.51180,0.12372,5046.42725,0.00000,0.00000
13.69180,0.12376,5168.29491,0.00000,0.00000
13.89580,0.12709,5296.06342,0.00000,0.00000
14.00000,0.12820,5345.97635,0.00000,0.00000
14.12080,0.12693,5426.38302,0.00000,0.00000
14.33380,0.13269,5551.37396,0.00000,0.00000
14.54180,0.13726,5674.79134,0.00000,0.00000
14.75580,0.13766,5800.00877,0.00000,0.00000
14.97580,0.14020,5924.10564,0.00000,0.00000
15.00000,0.14047,5934.66759,0.00000,0.00000
15.21580,0.14348,6047.24884,0.00000,0.00000
15.45580,0.14530,6175.87566,0.00000,0.00000
15.69180,0.14659,6298.98310,0.00000,0.00000
15.90580,0.15006,6427.41919,0.00000,0.00000
16.00000,0.15289,6476.99833,0.00000,0.00000
16.12880,0.15371,6544.59000,0.00000,0.00000
16.35780,0.15482,6671.65518,0.00000,0.00000
16.59480,0.16055,6799.31641,0.00000,0.00000
16.82680,0.16241,6918.60914,0.00000,0.00000
17.00000,0.16374,7013.83352,0.00000,0.00000
17.04080,0.16626,7039.15358,0.00000,0.00000
17.26880,0.16781,7167.82808,0.00000,0.00000
17.51980,0.17042,7299.79277,0.00000,0.00000
17.75180,0.17413,7427.01292,0.00000,0.00000
17.98080,0.17667,7549.16668,0.00000,0.00000
18.00000,0.17636,7558.76303,0.00000,0.00000
18.29580,0.17848,7668.55478,0.00000,0.00000
18.61580,0.18286,7798.75517,0.00000,0.00000
18.93080,0.18241,7924.49713,0.00000,0.00000
19.00000,0.18440,7955.38425,0.00000,0.00000
19.26280,0.18615,8044.40975,0.00000,0.00000
19.64780,0.19016,8170.78352,0.00000,0.00000
20.00000,0.19445,8287.13179,0.00000,0.00000
20.02780,0.19160,8290.36236,0.00000,0.00000
20.38780,0.19578,8417.06991,0.00000,0.00000
20.76580,0.19895,8550.03595,0.00000,0.00000
21.00000,0.20061,8652.06718,0.00000,0.00000
21.06080,0.20316,8672.27316,0.00000,0.00000
21.34780,0.20415,8789.90889,0.00000,0.00000
21.63380,0.20780,8923.57826,0.00000,0.00000
21.93080,0.20943,9055.08995,0.00000,0.00000
22.00000,0.21015,9078.80068,0.00000,0.00000
22.27680,0.21259,9165.41815,0.00000,0.00000
22.60080,0.21622,9300.85182,0.00000,0.00000
22.96580,0.21901,9417.67693,0.00000,0.00000
23.00000,0.22094,9429.55017,0.00000,0.00000
23.34280,0.22135,9542.96589,0.00000,0.00000
23.77280,0.22340,9666.33558,0.00000,0.00000
24.00000,0.22618,9735.36968,0.00000,0.00000
24.18480,0.22722,9799.76654,0.00000,0.00000
24.52780,0.22798,9910.65502,0.00000,0.00000
24.87280,0.23319,10040.11631,0.00000,0.00000
25.00000,0.23300,10088.76562,0.00000,0.00000
25.21180,0.23588,10163.22374,0.00000,0.00000
25.53880,0.23826,10292.22012,0.00000,0.00000
25.82780,0.24015,10419.04688,0.00000,0.00000
26.00000,0.24528,10494.54212,0.00000,0.00000
26.12880,0.24368,10541.20064,0.00000,0.00000
26.38080,0.24726,10677.33765,0.00000,0.00000
26.63580,0.24989,10798.19202,0.00000,0.00000
26.90480,0.25206,10922.62268,0.00000,0.00000
27.00000,0.25237,10973.68002,0.00000,0.00000
27.16180,0.25550,11051.16606,0.00000,0.00000
27.42780,0.25912,11174.75033,0.00000,0.00000
27.70580,0.25886,11301.61285,0.00000,0.00000
27.98780,0.26277,11422.78910,0.00000,0.00000
28.00000,0.26398,11434.48353,0.00000,0.00000
28.27780,0.26503,11551.05829,0.00000,0.00000
28.55580,0.26948,11671.96035,0.00000,0.00000
28.86080,0.27153,11796.39101,0.00000,0.00000
29.00000,0.27268,11848.64044,0.00000,0.00000
29.16180,0.27322,11925.86422,0.00000,0.00000
29.46180,0.27829,12043.96486,0.00000,0.00000
29.69580,0.27932,12170.24326,0.00000,0.00000
29.93280,0.28309,12291.87250,0.00000,0.00000
30.00000,0.28309,12340.15226,0.00000,0.00000
30.18080,0.28604,12430.58443,0.00000,0.00000
30.42480,0.28794,12547.86253,0.00000,0.00000
30.65780,0.29358,12674.31974,0.00000,0.00000
30.88680,0.29538,12788.41496,0.00000,0.00000
31.00000,0.29593,12866.99772,0.00000,0.00000
31.09780,0.29762,12926.68581,0.00000,0.00000
31.31080,0.30009,13050.17471,0.00000,0.00000
31.51480,0.30300,13165.23552,0.00000,0.00000
31.72480,0.30444,13291.56160,0.00000,0.00000
31.92580,0.30882,13423.97928,0.00000,0.00000
32.00000,0.31046,13472.86701,0.00000,0.00000
32.11480,0.31216,13546.01383,0.00000,0.00000
32.30880,0.31246,13668.73980,0.00000,0.00000
32.51280,0.31516,13793.84995,0.00000,0.00000
32.73580,0.32172,13918.59055,0.00000,0.00000
32.97380,0.32274,14044.41595,0.00000,0.00000
33.00000,0.32486,14067.61408,0.00000,0.00000
33.20180,0.32565,14174.15142,0.00000,0.00000
33.44780,0.32903,14296.80586,0.00000,0.00000
33.72480,0.33217,14422.71471,0.00000,0.00000
33.99080,0.33543,14556.10991,0.00000,0.00000
34.00000,0.33458,14563.76314,0.00000,0.00000
34.28080,0.33857,14667.90438,0.00000,0.00000
34.57280,0.34241,14791.35752,0.00000,0.00000
34.83480,0.34229,14920.60423,0.00000,0.00000
35.00000,0.34422,14991.90331,0.00000,0.00000
35.11580,0.34622,15044.55805,0.00000,0.00000
35.39380,0.34879,15173.66171,0.00000,0.00000
35.69680,0.35267,15297.00756,0.00000,0.00000
35.99180,0.35384,15423.48862,0.00000,0.00000
36.00000,0.35475,15417.52815,0.00000,0.00000
36.27280,0.35886,15539.82496,0.00000,0.00000
36.56680,0.36105,15676.23615,0.00000,0.00000
36.88980,0.36342,15803.69473,0.00000,0.00000
